date,supplier,spend,currency,department,po_number,description,contract_end,region,single_source
2025-01-05,Amazon Web Services,48500,EUR,Engineering,PO-2025-001,Cloud infrastructure EC2 + S3 + RDS production,2025-12-31,DE,FALSE
2025-01-06,Microsoft Azure,22300,EUR,Engineering,PO-2025-002,Azure DevOps + Active Directory licenses,2025-11-30,DE,FALSE
2025-01-08,Google Cloud Platform,31200,EUR,Engineering,PO-2025-003,BigQuery data warehouse + Vertex AI,2025-12-31,DE,FALSE
2025-01-10,Salesforce,14800,EUR,Sales,,CRM licenses Q1 - invoice paid without PO,2026-03-31,DE,FALSE
2025-01-12,Personio GmbH,8200,EUR,HR,PO-2025-004,HR platform annual subscription,2025-12-31,DE,TRUE
2025-01-14,WeWork Germany GmbH,18000,EUR,Facilities,PO-2025-005,Berlin Mitte office co-working January,2025-12-31,DE,TRUE
2025-01-15,Lufthansa AG,2100,EUR,Management,,Business flights Berlin-London Q1,,DE,FALSE
2025-01-17,OpenAI Inc.,9800,EUR,Product,,GPT-4 API usage - no contract in place,,DE,TRUE
2025-01-19,Workday Inc.,11500,EUR,HR,PO-2025-006,Workday HCM annual license,2026-01-31,DE,FALSE
2025-01-21,KPMG AG Wirtschaftsprüfungsgesellschaft,24000,EUR,Finance,PO-2025-007,Annual statutory audit Q1,2025-12-31,DE,FALSE
2025-01-23,Datadog Inc.,8900,EUR,Engineering,PO-2025-008,Infrastructure monitoring + APM,2025-12-31,DE,FALSE
2025-01-25,Snowflake Inc.,13400,EUR,Data & Analytics,PO-2025-009,Cloud data platform,2025-12-31,DE,FALSE
2025-01-27,Anthropic PBC,7600,EUR,Product,,Claude API usage - no PO raised,,DE,TRUE
2025-01-29,Twilio Inc.,6700,EUR,Product,PO-2025-010,SMS + voice API services,2025-09-30,DE,FALSE
2025-01-30,Stripe Inc.,4300,EUR,Engineering,,Payment processing fees - direct debit,,DE,FALSE
2025-02-03,Amazon Web Services,51200,EUR,Engineering,PO-2025-001,Cloud infrastructure February,2025-12-31,DE,FALSE
2025-02-05,SAP SE,32000,EUR,Finance,PO-2025-011,SAP S/4HANA license renewal,2026-03-31,DE,FALSE
2025-02-07,Celonis SE,15200,EUR,Operations,PO-2025-012,Process mining platform license,2026-04-30,DE,TRUE
2025-02-10,WeWork Germany GmbH,18000,EUR,Facilities,PO-2025-005,Berlin Mitte office February,2025-12-31,DE,TRUE
2025-02-12,LinkedIn Ireland Unlimited,5600,EUR,HR,,LinkedIn Recruiter seats - no PO raised,,DE,FALSE
2025-02-14,HubSpot Inc.,7200,EUR,Marketing,,Marketing Hub Professional - no contract,,DE,FALSE
2025-02-17,Google Cloud Platform,29800,EUR,Engineering,PO-2025-003,BigQuery production February,2025-12-31,DE,FALSE
